Academic Department,Course Code,Course Instructor,Course Name,Course Section,ISBN (Normalized),Title Author Combined and Normalized,Publisher,Title,Publication Date
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,1101217561; 9781101217566; 1594482853; 9781594482854,beautiful things that heaven bears - meng,Penguin Publishing Group,The Beautiful Things That Heaven Bears.,2007.
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,1541672615; 9781541672611; 9781541672598; 1541672593; 9781541672604; 1541672607,"america for americans a history of xenophobia in the united states - lee,",Basic Books,America for Americans : a history of xenophobia in the United States /,2021.
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,1781682976; 9781781682975; 9781781681909; 1781681902; 9781781685013; 1781685010,beast riding the rails and dodging narcos on the migrant trail - mart,Verso,The beast : riding the rails and dodging narcos on the migrant trail /,2014.
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,9780670038329; 0670038326,stealing buddha s dinner a memoir - nguy,Viking,Stealing Buddha's dinner : a memoir /,2007.
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,9780892552900; 0892552905,bread givers a novel - yezi,Persea Books,Bread givers : a novel /,[2003]
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,9781594482854; 1594482853; 9781594489402; 1594489408,beautiful things that heaven bears - meng,Riverhead Books,The beautiful things that heaven bears /,2007.
GW - ANTH-53,ANTH 1000 - Kaplan - Fall 2023,"Kaplan, Michael",ANTH 1000,,,avatar -,Lightstorm Entertainment; 20th Century Fox Home Entertainment,Avatar.,2009.
GW - ANTH-53,ANTH 1003 - Cline - Fall 2023,"Cline, Eric",ANTH 1003,,9780691166407; 0691166404,three stones make a wall the story of archaeology - clin,Princeton University Press,Three stones make a wall : the story of archaeology /,[2017]
GW - ANTH-53,ANTH 2008 - Wagner - Fall 2023,"Wagner, Sarah",ANTH 2008,,9780062748218; 0062748211,barracoon the story of the last black cargo - hurs,Amistad an imprint of HarperCollins Publishers,"Barracoon : the story of the last ""black cargo"" /",2019.
GW - ANTH-53,ANTH 2506 - Johnston - Fall 2023,"Johnston, Susan",ANTH 2506,,1281365327; 9781281365323; 9786611365325; 661136532X; 1403981795; 9781403981790; 1403966060; 9781403966063; 140396789X; 9781403967893,sorrow of the lonely and the burning of the dancers - schi,Palgrave Macmillan,The sorrow of the lonely and the burning of the dancers /,2005.
GW - ANTH-53,ANTH 2506 - Johnston - Fall 2023,"Johnston, Susan",ANTH 2506,,1282772759; 9781282772755; 9786612772757; 6612772751; 0520945530; 9780520945531; 0520253159; 9780520253155; 0520260880; 9780520260887,theater in a crowded fire ritual and spirituality at burning man - gilm,University of California Press,Theater in a crowded fire ritual and spirituality at Burning Man /,2010.
GW - ANTH-53,ANTH 2506 - Johnston - Fall 2023,"Johnston, Susan",ANTH 2506,,9780226775425; 0226775429; 9780226775432; 0226775437,in sorcery s shadow a memoir of apprenticeship among the songhay of niger - stol,University of Chicago Press,In sorcery's shadow : a memoir of apprenticeship among the Songhay of Niger /,1987.
